Minor planet designation,Rotation period(hours),Δmag,Quality(U),Orbit or family,Spectral type,Diameter(km),Abs. mag(H),Refs,Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,movie_name,category,run_time,genre,imdb_rating,votes,gross_total,rating,timestamp,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,Buying_Price,Maintenance_Price,No_of_Doors,Person_Capacity,Size_of_Luggage,Safety,Car_Acceptability,updateTime,per capita income,median household income,median family income,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,Season1Date,Season1Time,x,y,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Honey,Jams,Maple,Meat,PetFood,Tofu,WildHarvested,updateTime,Order Date,Product,Product_ean,Purchase Address,Quantity Ordered,Price Each,Cost price,turnover,margin,Cat_Sort,Category,varShort,varLong,Map,PopChangeRate1819,PopChangeRate1019,TotalPopEst2019,NetMigrationRate1019,NaturalChangeRate1019,Net_International_Migration_Rate_2010_2019,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,brand,model,offers/priceCurrency,features/0/description,country,ISO3,continent,Region 1,markup_GME,alpha,Q,II,VA,LAB,K,Subsidies,Taxes,Place, Latitude, Longitude, Country, Continent, Magnitude,title,published_at,view_count,like_count,comment_count,text,label,url,name,Price,listedOn,Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
(128648) 2004 RT42,287.5,0.51,2,MBA (outer),C,4.35,15.53,LCDB  ·  List,AES,AES Corp,Utilities,10.06,9.96,4.961832,-1.72,12.05,10,6920851212,3001000000,0.65951383,2.2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES,The Dark Knight,PG-13,152 min,"Action, Crime, Drama",9,"2,656,768",$534.86M,2.5,1260759135,25921089,2976,0,2928.047472,47.95252809,2976,0,0.184994265,0.016376964,med,high,2,4,big,low,unacc,12/16/2016 12:06,"$49,038 ","$98,221 ","$117,408 ",170 Farm Stand,,https://www.facebook.com/CommunityFoodAction/,https://twitter.com/GoodEatsBX,https://www.youtube.com/channel/UCZnt7sSNKIBrn2rMy1RyE_w,https://www.instagram.com/goodeatsbx/,NE Corner of 170th St. & Townsend Avenue,Bronx,Bronx,New York,07/05/2017 to 11/22/2017,Wed: 2:30 PM-6:30 PM;,-73.916786,40.839886,Y,N,Y,Y,Y,-,N,N,N,N,Y,Y,N,N,N,N,N,N,08/07/2017 16:11,07/01/2019 11:29,Apple Airpods Headphones,4.33E+12,"492 Walnut St, San Francisco, CA 94016",1,150,97.5,150,52.5,2,Jobs,NumEmployed2011,"Employed, 2011",n,-1.03,-2.544,33254,-0.999,-1.544,0.475,-6.47,-4.84,-1.17,0.664460912,Samsung,NP750QFG-KA2US,USD,From all night rabbit holes to hobbies to inten,Azerbaijan,AZE,Asia,Western Asia,1.4541298,0.98403609,364172.4841,251587.4865,112584.9976,6237.567,0.534861,-0.213648,954.1574,Freetown,8.4839,-13.2328, Sierra Leone, Africa,4.8,Chopped Cheese @owen.han,2024-02-06T15:00:03Z,11912834,604363,1298,i try to be nice though so if you get a bitchy person on the phone or at the window feel free to have a little fit and throw your pen at her face,1,https://www.etsy.com/listing/1619150842/custom-wooden-name-puzzle-for-toddlers?click_key=6a89c5e46673f0798b76bde56d79272a72009d4c%3A1619150842&click_sum=68afa23f&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-2-2&pro=1&frs=1&bes=1,"Custom Wooden Name Puzzle for Toddlers, Gift for Kids Baby Girl, Christmas Gifts For Kids, Personalized Montessori Toys, Unique Baby Gift",$7.92+,"Feb 10, 2024",HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"â‚¹53,990"
4459 Nusamaibashi,287.5,0.66,2,Flora,S,3.91,14.21,LCDB  ·  List,AET,Aetna Inc,Health Care,178,18.11,1.101989,5.75,194.4,119.51,59197016353,4139000000,0.9923546,3.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET,The Godfather: Part II,R,202 min,"Crime, Drama",9,"1,273,349",$57.30M,1,1260759203,25921089,3095,4,2960.047472,134.9525281,3091,0.01543145,0.520628312,0.045591339,med,high,2,4,big,med,acc,4/28/2011 14:33,"$48,814 ","$98,633 ","$117,683 ",175th Street Greenmarket,https://www.grownyc.org/greenmarket/manhattan/175th-street,https://www.facebook.com/ManhattanGreenmarkets/,,,,175th Street between Wadsworth & Broadway,New York ,New York,New York,06/29/2017 to 11/22/2017,Tue: 8:00 AM-6:00 PM;,-73.938049,40.846355,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,12/16/2016 12:06,31/01/2019 10:12,Macbook Pro Laptop,1.17E+12,"322 6th St, San Francisco, CA 94016",1,1700,561,1700,1139,2,Jobs,NumUnemployed2011,"Unemployed, 2011",n,0.7,0.897,26196,4.634,-3.736,0,8.34,3.53,-1.03,0.731067233,HP,14-es0033dx,USD,"From a rejuvenated Start menu, to new ways t",Bahamas,BHS,North America,Caribbean,2.6476223,0.96127862,107434.8061,36447.22388,70987.58219,9558.45,8027.57,-176.54581,1408.625,Georgetown,6.7991,-58.154, Guyana, South America,4.9,QuerÃ­a volar,2024-02-07T21:17:32Z,11477873,354971,675,im feeling a little like a damaged tree and that my roots are a little out of wack,0,https://www.etsy.com/listing/1650654076/kids-gift-for-nursery-toys-storage-and?click_key=46b065bee702b67bd6b933d4292e990dfb14116a%3A1650654076&click_sum=3a84a72d&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-2-1&pro=1&frs=1,Kids Gift For Nursery Toys Storage and Bookcases | Toddler Bookshelf | Wooden Montessori Kids and Baby Bookcase | Kids Room Decor Bookshelf,$69.99,"Jan 24, 2024",HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"â‚¹66,999"
(14774) 4845 T-1,287.4,0.5,2,MBA (outer),C,11.05,13.51,LCDB  ·  List,AMG,Affiliated Managers Group Inc,Financials,179.11,12.24,0.6387395,12.07,216.995,148.81,10442174371,1261400000,4.591235,2.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG,Aliens,R,137 min,"Action, Adventure, Sci-Fi",8.4,"720,623",$85.16M,4,1260759191,25921089,3143,9,2979.447472,163.5525281,3134,0.034720763,0.630963182,0.054893577,med,high,2,4,big,high,acc,12/29/2016 12:13,"$48,721 ","$82,283 ","$104,250 ",17th Ave Market,http://www.iatp.org/minimarkets,,,,,1622 6th St NE,Minneapolis,Hennepin,Minnesota,June to September,Wed:3:00 pm - 7:00 pm;,-93.259102,45.004398,N,Y,Y,Y,N,-,N,N,N,N,N,N,N,N,N,N,N,N,4/28/2011 14:33,09/01/2019 18:57,AAA Batteries (4-pack),4.44E+12,"618 7th St, Los Angeles, CA 90001",3,2.99,1.495,8.97,4.485,2,Jobs,UnempRate2012,"Unemployment rate, 2012",n,0.6,1.775,44428,0.568,1.207,0.545,10.23,6.05,3.02,1.377296539,HP,15-fh0023dx,USD,"From a rejuvenated Start menu, to",Bahrain,BHR,Asia,Western Asia,1.8621343,0.86166054,108231.2993,47704.95158,60526.34776,5777.161,881.1362,-336.61593,158.38049,Yamoussoukro,6.82,-5.2758, CÃ´te d'Ivoire, Africa,4.7,New VS Old Hammer Under Hydraulic Press!,2024-02-10T21:46:44Z,11141988,485145,5720,i have officially graduated im not feeling as ecstatic as i thought i would,1,https://www.etsy.com/listing/981075010/little-lemon-is-on-the-way-baby-shower?click_key=8de5cbae69a2381a03dfc90eab692068fd22f184%3A981075010&click_sum=ceddf634&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-3-2&organic_search_click=1&pro=1&sts=1&dd=1,Little Lemon is on the Way Baby Shower Diaper Raffle Sign Lemon Diaper Raffle Card Lemon Baby Shower Diaper Raffle Sign Raffle Tickets 0121,$4.66,"Feb 3, 2024",DELL,New Inspiron 15 Laptop,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹45,999"
(98081) 2000 RF67,287.3,0.84,2,MBA (inner),S,3.41,14.7,LCDB  ·  List,AFL,AFLAC Inc,Financials,83.25,12.24,2.4299066,11.01,91.73,68.8,33422948000,0,1.5429344,1.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL,Schindler's List,R,195 min,"Biography, Drama, History",9,"1,357,621",$96.90M,4,1260759139,25921089,3217,19,2997.247472,219.7525281,3198,0.07329939,0.847775061,0.073318113,med,high,2,more,small,low,unacc,3/24/2015 15:33,"$48,486 ","$75,604 ","$90,116 ",17th Street Farmers Market,http://enrichmond.org,https://www.facebook.com/17thStreetFarmersMarket/,,,,100 North 17th St.,Richmond ,Richmond City,Virginia,06/08/2017 to ,Thu: 3:00 PM-6:30 PM;,-77.428368,37.533852,Y,N,N,N,Y,-,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,12/29/2016 12:13,25/01/2019 19:19,27in FHD Monitor,7.31E+12,"512 Wilson St, San Francisco, CA 94016",1,149.99,97.4935,149.99,52.4965,2,Jobs,NumEmployed2017,"Employed, 2017",n,-1.901,-9.098,12589,-6.463,-2.636,-0.123,-12.96,-12.42,-0.04,1.001574803,Acer,PHN16-71-73LT,USD,Windows 11 was designed with,Bangladesh,BGD,Asia,Southern Asia,1.3027554,1.0273149,2540615.063,1988610.972,552004.091,80089.2,57574.98,-5850.907,10342.308,Bujumbura,-3.3923,29.3604, Burundi, Africa,5.2,Paisa bolta hai ðŸ¤‘ (part-3) | Simran Makhija | #shorts #school #schoollife,2024-02-02T08:28:59Z,10425978,320665,201,i feel like a jerk because the library students who all claim to love scrabble cant be bothered to participate and clearly scrabble is an inappropriate choice for a group of students whose native language isnt english,3,https://www.etsy.com/listing/1615051771/custom-name-kids-sweatshirt-personalized?click_key=045ca3046625952968e95042f4002cf7bc5b6a43%3A1615051771&click_sum=2e3e9777&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-3-1&organic_search_click=1&pro=1&frs=1&sts=1,"Custom Name Kids Sweatshirt- Personalized Toddler Gift, Boys & Girls Nickname Shirt, Baby Name Tees, Gift for Kids, Toddler Sweatshirt",$22.24+,"Feb 10, 2024",ASUS,Gaming F15,Core i5,Windows 11 Home,2 TB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹47,990"
(34045) 2000 OD34,287.3,0.23,2,MBA (inner),S,3.44,14.68,LCDB  ·  List,A,Agilent Technologies Inc,Health Care,65.05,27.45,0.8756979,2.1,75,49.23,21984606918,1094000000,6.493563,4.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A,Inception,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"2,356,293",$292.58M,3,1260759194,25921089,3140,25,3042.647472,97.35252809,3115,0.096446565,0.375572678,0.031995993,med,high,2,more,small,med,unacc,6/29/2016 16:32,"$48,172 ","$109,865 ","$128,657 ",18th and Christian Farmers' Market,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,,,,18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,06/01/2015 to 11/15/2015,Thu: 3:00 PM-7:00 PM;,-75.173431,39.940945,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,3/24/2015 15:33,03/01/2019 21:54,Flatscreen TV,4.06E+12,"363 Spruce St, Austin, TX 73301",1,300,99,300,201,4,CntyClass,UrbanInfluenceCode2013,"Urban influence code, 2013",y,-1.238,-8.321,23622,-7.56,-0.761,-0.07,-7.3,-8.65,1.96,0.161759948,Lenovo,82H803SBUS,USD,Experience the most secure Windows ev,Barbados,BRB,North America,Caribbean,2.7517731,0.96127862,68829.62048,32729.48299,36100.13749,5268.64,3752.967,-327.08081,674.0493,Kyushu,33.5882,130.4006, Japan, Asia,4.9,The monster is back ðŸ˜±ðŸ¥´ LeoNata family #shorts,2024-02-06T15:00:35Z,10511695,118649,63,i feel my portfolio demonstrates how eager i am to learn but some who know me better might call it annoyingly persistent,1,https://www.etsy.com/listing/1324260608/kids-personalized-daisy-sunglasses?click_key=f018f834f2439326adf74f87e996a5d0d0a4b2ab%3A1324260608&click_sum=56818218&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-3-4&pro=1&sts=1,Kids Personalized Daisy Sunglasses W/Leather case Kid gift/Toddler Gift /Baby gift |Personalized Birthday gift| Christmas gift UV Protection,$8.00+,"Feb 11, 2024",ASUS,E510MA-EJ001W,Celeron Dual Core,Windows 11 Home,256 GB,4 GB,39.62 cm (15.6 Inch),No,"â‚¹19,990"
(163899) 2003 SD220,285,2.2,2+,NEO,S,1.08,17.2,LCDB  ·  List,APD,Air Products & Chemicals Inc,Materials,152.8,24.22,2.7811136,13.66,175.17,133.6301,34638387128,2542500000,4.1163683,3.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD,The Lord of the Rings: The Fellowship of the Ring,PG-13,178 min,"Action, Adventure, Drama",8.8,"1,878,557",$315.54M,2,1260759198,25921089,3084,7,3045.847472,38.15252809,3077,0.027005038,0.147187212,0.01252608,med,high,2,more,small,high,unacc,6/23/2017 8:02,"$47,984 ","$81,946 ","$105,341 ",18th Street Farmer's Market,,https://www.facebook.com/ScottsbluffFarmersMarket,,,,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,06/07/2014 to 09/27/2014,Sat: 8:00 AM-11:00 AM;,-103.66254,41.864269,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,6/29/2016 16:32,05/01/2019 17:20,27in FHD Monitor,9.64E+12,"440 Cedar St, Portland, OR 97035",1,149.99,97.4935,149.99,52.4965,4,CntyClass,Hipov,"High poverty counties, 2015-19",y,-0.444,-4.77,13235,-2.151,-2.619,-0.065,-2.26,-3.67,-1.38,0.483769193,HP,15-fh0013dx,USD,From a reju,Belarus,BLR,Europe,Eastern Europe,1.0713454,1.0420942,16612.86787,14946.4238,1666.444069,335.6725,171.27835,-0.729856,10.113715,Conakry,9.5061,-13.7126, Guinea, Africa,4.7,How to a Find Sea Animals EASY! #shorts,2024-01-25T13:00:42Z,10158712,,283,i may be more biased than the next because i have a dependent life to take care of and to keep safe but i feel we all need to take care of ourselves as well,1,https://www.etsy.com/listing/1570812344/night-light-kids-unique-night-light-baby?click_key=d0632f7a634c03a0fd77831be93ee1a457a68090%3A1570812344&click_sum=5da07064&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-3-3&pro=1&frs=1&bes=1,"Night light kids, unique night light, baby gift birth, baby gift personalized, easter gift,christening gift,birthday gift,bedside lamp",$24.11+,"Feb 10, 2024",HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹49,990"
(225561) 2000 SB372,281.6,0.55,2,MBA (middle),S,2,16.61,LCDB  ·  List,AKAM,Akamai Technologies Inc,Information Technology,62.49,32.55,0,1.79,69.56,44.65,10906904066,789517000,5.8546524,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM,Alien,R,117 min,"Horror, Sci-Fi",8.5,"885,635",$78.90M,2,1260759108,25921089,3044,16,3037.647472,6.35252809,3028,0.061725802,0.024507181,0.002091266,med,high,2,more,med,low,unacc,8/19/2016 16:07,"$47,803 ","$99,020 ","$117,393 ",18th Street Farmers Market,,18th Street Farmers Market,,,,825 18th Street,Charleston ,Coles,Illinois,05/20/2017 to 09/30/2017,Sat: 8:00 AM-12:00 PM;,-88.162239,39.490715,Y,Y,N,Y,Y,-,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,6/23/2017 8:02,10/01/2019 11:20,Vareebadd Phone,6.72E+12,"471 Center St, Los Angeles, CA 90001",1,400,132,400,268,4,CntyClass,Perpov_1980_0711,"Persistent poverty counties, 2015 edition",y,-0.666,-0.626,14910,-0.087,-0.54,-0.44,6.01,4.17,0.65,0.864380469,HP,17-cw0023dx,USD,"From a rejuvenated Start menu, to new wa",Belgium,BEL,Europe,Western Europe,1.7972577,1.0309912,9254665.867,5044571.978,4210093.889,497861.6,6867.751919,-40478.148,2218.57332,Tonga Trench,-23.12,-172.08, Tonga, Oceania,4.8,True eventðŸ’” #youtube #youtubeshorts #love #news,2024-02-08T19:20:43Z,9767785,562980,9042,i didn t feel terrific,1,https://www.etsy.com/listing/1649635239/14k-real-gold-kids-chain-necklace-kids?click_key=8db310b149316c7abca1e2bf47f8b74e195ef33d%3A1649635239&click_sum=c6a948f7&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-3-2&pro=1,14K Real Gold Kids Chain Necklace | Kids Figaro Chain Cuban Chain Rope Chain Gift ToddlerKids Gift for Godson | Gift for boy girl Valentine,$79.20+,"Feb 9, 2024",ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"â‚¹77,990"
3635 Kreutz,280,0.25,2+,Hungaria,S,3.41,14.7,LCDB  ·  List,ALK,Alaska Air Group Inc,Industrials,64.04,9.66,1.9928383,8.28,101.43,59.25,7903173734,1665000000,0.9801092,2.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK,Some Like It Hot,Passed,121 min,"Comedy, Music, Romance",8.2,"269,346",$25.00M,2.5,1260759113,25921089,3032,12,3070.847472,-38.84747191,3020,0.046294351,-0.149868209,-0.012650408,med,high,2,more,big,med,acc,6/30/2016 19:50,"$47,331 ","$85,478 ","$92,500 ",19/27 Community Farmers Market,,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,,,,NE 7th Ave,Chiefland,Levy,Florida,09/03/2016 to 06/24/2017,Sat: 8:30 AM-1:00 PM;,-82.857872,29.484854,Y,N,N,N,N,-,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,8/19/2016 16:07,24/01/2019 8:13,Apple Airpods Headphones,2.70E+12,"414 Walnut St, Boston, MA 02215",1,150,97.5,150,52.5,4,CntyClass,Oil_Change,"Change in the value of onshore oil production, 2000-11",y,0.755,4.25,52342,2.235,2.016,1.562,14.52,10.39,3.1,0.733134465,HP,14-es0013dx,USD,"From a rejuvenated Start menu, to new way",Belize,BLZ,North America,Central America,4.6939135,1.1438313,46198.18058,7061.511609,39136.66897,5962.817,4284.777,-67.56883,770.3238,Bucharest,44.4236,26.103, Romania, Europe,4.8,ÐÐµ Ð±ÐµÑ€Ð¸Ñ‚Ðµ Ð² Ñ€ÑƒÐºÐ¸ ÑÑ‚Ð¾ ÑÑƒÑ‰ÐµÑÑ‚Ð²Ð¾,2024-02-06T14:22:52Z,10286985,251340,1104,i miss all the others as well that feel that i wronged them and they will soon understand that i didnt,3,https://www.etsy.com/listing/1584828752/personalized-embroidered-baby-and?click_key=f8796e58dd001cc9b55619500cb55daf056a63c3%3A1584828752&click_sum=0e60aee5&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-3-1&frs=1&sts=1,"Personalized Embroidered Baby and Toddler Sweater, Embroidered Oversized Chunky Kids Sweater, Baby Name Announcement, Baby Shower Gift",$47.00,"Feb 4, 2024",Lenovo,Lenovo V15,Celeron Dual Core,Windows 11 Home,NA,8 GB,39.62 cm (15.6 inch),No,"â‚¹22,990"
(35697) 1999 CG104,277.6,0.92,2,Flora,S,2.85,14.89,LCDB  ·  List,ALB,Albemarle Corp,Materials,105.18,26.03,1.2004126,5.66,144.99,90.35,11782151266,686030000,5.3666205,2.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB,Blade Runner,R,117 min,"Action, Drama, Sci-Fi",8.1,"773,425",$32.87M,1,1260759200,25921089,3161,2,3193.047472,-32.04747191,3159,0.007715725,-0.123634744,-0.010036641,med,high,2,more,big,high,acc,03/02/2015 10:46,"$46,565 ","$122,238 ","$133,550 ",21 Acres Farm Market,http://21acres.org,https://www.facebook.com/21Acres/,@21acres,21AcresCenter's channel,Instagram @21acres,13701 NE 171st Street,Woodinville,King,Washington,01/01/2016 to 12/31/2016,Wed: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 11:00 AM-6:00 PM;,-122.15699,47.75024,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,6/30/2016 19:50,30/01/2019 9:28,USB-C Charging Cable,3.69E+12,"220 9th St, Los Angeles, CA 90001",1,11.95,5.975,11.95,5.975,4,CntyClass,Gas_Change,"Change in the value of onshore natural gas production, 2000-11",y,0.431,1.315,55241,2.914,-1.599,0.781,-1.01,0.28,-0.38,0.4018401,HP,15-DY5033DX,USD,Experience the,Benin,BEN,Africa,Western Africa,1.553893,0.95878273,150096.0121,76801.7962,73294.21587,10785.14,7782.546,-515.2684,171.34127,Bridgetown,13.1108,-59.6006, Barbados, North America,4.7,ÙÙ„Ø³Ø·ÙŠÙ† Ø­Ø±Ù‡ #freepalestine  #shorts,2024-02-10T08:53:05Z,9741594,512877,3026,i feel so stupid that i realise it so late,0,https://www.etsy.com/listing/1149277004/mommy-first-valentine-handprint-craft?click_key=54212086be21cb1f864f6fbc32900e0195958b14%3A1149277004&click_sum=e0709c4b&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-4-2&organic_search_click=1&pro=1&sts=1&dd=1,Mommy First Valentine Handprint Craft | Mommy's First Valentine from Baby | Handprint DIY Craft Art Baby Kids | Mom Valentine Card From Kid,$3.99,"Feb 6, 2024",Acer,EX215-23,Ryzen 5 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹29,990"
(15658) 1265 T-2,277.4,0.49,2,MBA (inner),S,2.34,15.52,LCDB  ·  List,ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,19.03,3.0262272,1.57,134.37,106.89,12043374429,0,10.492155,2.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE,Se7en,R,127 min,"Crime, Drama, Mystery",8.6,"1,655,745",$100.13M,3,1260759117,25921089,3150,2,3192.047472,-42.04747191,3148,0.007715725,-0.16221337,-0.013172571,med,high,3,2,small,low,unacc,3/24/2015 14:29,"$46,457 ","$80,761 ","$82,500 ",21st Street Farmers Market,,,,,,SW 21st and Oakley,Topeka,Shawnee,Kansas,06/05/2015 to 10/30/2015,Fri: 7:30 AM-12:00 PM;,-95.714516,39.028183,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,03/02/2015 10:46,17/01/2019 0:09,AA Batteries (4-pack),6.74E+12,"385 11th St, Atlanta, GA 30301",1,3.84,1.92,3.84,1.92,4,CntyClass,Oil_Gas_Change,"Change in the value of onshore oil and natural gas production, 2000-11",y,-1.83,-8.832,12067,-6.392,-2.44,0.053,-6.11,-8.24,-0.09,0.249376559,HP,15-fc0093dx,USD,Experience the most secure Window,Bermuda,BMU,North America,Northern America,1.7434727,1.0269846,60260.33573,29122.72723,31137.6085,7650.89,2521.651,-456.9355,3482.953,Ouagadougou,12.3718,-1.522, Burkina Faso, Africa,5.7,He found a new.....ðŸ˜­ðŸ’” motivational status #motivation #whatsappstatus #youtube #attitude,2024-01-24T11:57:21Z,9683914,540197,1658,i saunter through the airport terminals feeling that i have had an experience that renders the petty tribulations of everyday travel somehow far less significant,3,https://www.etsy.com/listing/870388667/baby-shower-scratch-off-baby-shower-game?click_key=085366899b7a5f97c47a9ea8de367df26356dc30%3A870388667&click_sum=c6ce9523&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-4-1&organic_search_click=1,Baby Shower Scratch Off | Baby Shower Game | Baby it's cold outside | Winter Wonderland | lottery party game | Silver and Gold Snowflakes,$6.29,"Jan 11, 2024",HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"â‚¹54,990"
(32539) 2001 PD59,276.3,0.67,2,MBA (outer),C,7.72,14.29,LCDB  ·  List,ALXN,Alexion Pharmaceuticals,Health Care,108.47,22.18,0,1.77,149.34,96.18,26172439795,1072000000,9.720562,2.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN,Apocalypse Now,R,147 min,"Drama, Mystery, War",8.5,"669,994",$83.47M,4,835355493,25921089,3214,3,3266.647472,-52.64747191,3211,0.011573588,-0.203106713,-0.016116668,med,high,3,2,small,med,unacc,07/06/2016 14:37,"$45,732 ","$88,202 ","$105,844 ",22nd and Tasker Farmers' Market,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,,,,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,06/01/2015 to 11/01/2015,Tue: 2:00 PM-6:00 PM;,-75.18129,39.932259,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,3/24/2015 14:29,08/01/2019 11:51,AAA Batteries (4-pack),8.22E+12,"238 Sunset St, Seattle, WA 98101",1,2.99,1.495,2.99,1.495,4,CntyClass,HiCreativeClass2000,"Creative class, 2000",y,0.188,-9.482,10663,-6.053,-3.43,0.645,-5.43,-11.14,-1.91,-0.029550827,Dell,i3420-S476SLV-PUS,USD,Experience the mo,Bhutan,BTN,Asia,Southern Asia,1.2164737,1.0273149,49445.02428,6002.451549,43442.57274,29177.39,793.4359,-5.613484,144.89832,Yuzhno-Sakhalinsk,46.9624,142.7352, Russia, Asia,5.3,Kala talent video #magic #trendingshorts ðŸ‘»ðŸ™ˆðŸ˜­ðŸ™,2024-02-08T14:00:32Z,10009177,408743,1024,i need to feel dangerous and pretty so here a striking dance pick deep in vogue minutes ago,3,https://www.etsy.com/listing/1586793411/montessori-arch-with-dinosaur-theme?click_key=3751b213dd1e7cad67316a4c1167ad6bb487bc0a%3A1586793411&click_sum=d19d7ebf&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-4-4&pro=1&frs=1&etp=1&sts=1,"Montessori Arch with Dinosaur Theme Pillow Set, Wooden Toys for Kids, Montessory Toys",$89.05+,"Feb 8, 2024",HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"â‚¹66,990"
